scientific_name,wikipedia_page,image_url,thumb_url,license,author,attribution_line,notes,approved
Poecilotheria miranda,https://en.wikipedia.org/wiki/Poecilotheria_miranda,,,,,,NO_PAGE_IMAGE,y
Poecilotheria ornata,https://en.wikipedia.org/wiki/Poecilotheria_ornata,https://upload.wikimedia.org/wikipedia/commons/c/c3/Poecilotheria_ornata_-_female_-_top_view.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Poecilotheria_ornata_-_female_-_top_view.jpg/330px-Poecilotheria_ornata_-_female_-_top_view.jpg,Public domain,Morkelsker,Own work,,y
Poecilotheria regalis,https://en.wikipedia.org/wiki/Poecilotheria_regalis,https://upload.wikimedia.org/wikipedia/commons/2/2a/P_regalis.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/P_regalis.JPG/330px-P_regalis.JPG,Public domain,Morkelsker,Own work,,y
Poecilotheria rufilata,https://en.wikipedia.org/wiki/Poecilotheria_rufilata,https://upload.wikimedia.org/wikipedia/commons/9/9d/Poecilotheria_rufilata_8LA2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Poecilotheria_rufilata_8LA2.jpg/330px-Poecilotheria_rufilata_8LA2.jpg,CC BY-SA 2.0,B a y L e e ' s 8 Legged Art,https://www.flickr.com/photos/thebaylees/sets/72157607151995694/,,y
Poecilotheria striata,https://en.wikipedia.org/wiki/Poecilotheria_striata,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Poecilotheria_striata.jpg/3840px-Poecilotheria_striata.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Poecilotheria_striata.jpg/330px-Poecilotheria_striata.jpg,CC BY-SA 4.0,Poecilotheria36,Own work,,y
Poecilotheria subfusca,https://en.wikipedia.org/wiki/Poecilotheria_subfusca,https://upload.wikimedia.org/wikipedia/commons/5/5b/Poecilotheria_subfusca.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Poecilotheria_subfusca.jpg/330px-Poecilotheria_subfusca.jpg,CC BY-SA 3.0,Pawel W.,Own work,,y
Psalmopoeus cambridgei,https://en.wikipedia.org/wiki/Psalmopoeus_cambridgei,https://upload.wikimedia.org/wikipedia/commons/9/92/Psalmopoeus_cambridgei_7_FH.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Psalmopoeus_cambridgei_7_FH.jpg/330px-Psalmopoeus_cambridgei_7_FH.jpg,CC BY-SA 3.0,Factumquintus,,,y
Psalmopoeus ecclesiasticus,,,,,,,NO_WIKIPEDIA_PAGE,y
Psalmopoeus irminia,https://en.wikipedia.org/wiki/Psalmopoeus_irminia,https://upload.wikimedia.org/wikipedia/commons/8/8a/Irmin.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Irmin.jpg/330px-Irmin.jpg,CC BY-SA 4.0,Quengsalinas,Own work,,y
Psalmopoeus pulcher,https://en.wikipedia.org/wiki/Psalmopoeus_pulcher,https://upload.wikimedia.org/wikipedia/commons/3/35/PanamaBlondTarantula.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/PanamaBlondTarantula.jpg/330px-PanamaBlondTarantula.jpg,CC BY-SA 3.0,Ltshears,Own work,,y
